Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,PIM Link (description),PIM Link,Benchmark 2010 Status,Benchmark 2011 Status,Benchmark 2012 Status,Benchmark 2013 Status,Benchmark 2014 Status,Energy Audit Due Date,Energy Audit Status,Full.Address (address),2011 ENERGY STAR Score,Full.Address (city),Full.Address,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),Full.Address (state),Full.Address (zip),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2)
3722/020,Millennium Play,606 HOWARD ST,94105,57312,Office,,http://propertymap.sfplanning.org/?&search=3722/020,Complied,Complied,Complied,Complied,Complied,4/1/14,Did Not Comply,606 HOWARD ST,93,San Francisco,POINT (-122.398656 37.786452),32.8,,CA,94105,-51.1,,170.77,,32.8,,95,30.5,95.7,-54.4,,153.6,,30.5,95.7,95,29.5,92.7,-55.5,-55.5,148.7,2.6,29.5,92.7,95,31.3,98.1,-55,-55,146.1,2.5,31.3,98.1
7226/023,Lakeside Medical Building,2645 OCEAN AVE,94132,20671,N/A,,http://propertymap.sfplanning.org/?&search=7226/023,N/A,Complied,Complied,Exempt - Change of Ownership,Exempt - Change of Ownership,4/1/13,Complied,2645 OCEAN AVE,,San Francisco,POINT (-122.473798 37.731977),,,CA,94132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0262/013,PR III 255 California LLC,255 CALIFORNIA ST,94111,201531,Office,,http://propertymap.sfplanning.org/?&search=0262/013,Complied,Complied,Complied,Complied,Complied,4/1/13,Exempt - ENERGY STAR,255 CALIFORNIA ST,79,San Francisco,POINT (-122.399613 37.793263),61.4,,CA,94111,-30.9,,970.45,,61.4,,84,58.3,158.1,-35.9,,934.14,,57.8,158,85,58.3,149.4,-37.6,-37.6,931.7,5.1,58.5,149.6,85,53.4,138.2,-38.1,-38.1,777.9,4.1,55.8,141.2
0345/005,240 GOLDEN GATE AVE,240 GOLDEN GATE AVE,94102,29482,N/A,,http://propertymap.sfplanning.org/?&search=0345/005,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Pending,240 GOLDEN GATE AVE,,San Francisco,POINT (-122.414615 37.781769),,,CA,94102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3509/005,140 9TH ST,140 9TH ST,94103,15107,N/A,,http://propertymap.sfplanning.org/?&search=3509/005,N/A,Violation - Did Not Report,Violation - Did Not Report,Exempt - New Construction,Exempt - New Construction,4/1/16,Upcoming,140 9TH ST,,San Francisco,POINT (-122.41401 37.775658),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704/034,54 MINT ST,54 MINT ST,94103,12737,N/A,,http://propertymap.sfplanning.org/?&search=3704/034,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Pending,54 MINT ST,,San Francisco,POINT (-122.407412 37.782379),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3571/001,Jeff Smith - 2000 Folsom,2000 FOLSOM ST,94110,94349,N/A,,http://propertymap.sfplanning.org/?&search=3571/001,Complied,Complied,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,2000 FOLSOM ST,,San Francisco,POINT (-122.415276 37.765019),24.6,,CA,94110,-50.6,,180.89,,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5583/003,570 BARNEVELD AVE,560 BARNEVELD AVE,94124,33984,Office,,http://propertymap.sfplanning.org/?&search=5583/003,N/A,Violation - Did Not Report,Complied,Complied,Complied,4/1/14,Pending,560 BARNEVELD AVE,,San Francisco,POINT (-122.404406 37.739816),,,CA,94124,,,,,,,99,19.2,44.9,-68.9,-68.9,46.1,1.4,20.7,46.5,99,19.2,43.7,-69.7,-69.7,45.5,1.3,18.1,42.5,99,21.5,48.3,-64.9,-64.9,50.8,1.5,25.5,52.5
0504/011,1501 LOMBARD ST,1501 LOMBARD ST,94123,14698,Hotel,,http://propertymap.sfplanning.org/?&search=0504/011,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/14,Complied,1501 LOMBARD ST,,San Francisco,POINT (-122.426474 37.80101),,,CA,94123,,,,,,,,,,,,,,,,42,102.1,177,7,7,83.5,6.4,102.2,177,57,87.6,149.8,-6.3,-6.3,71.2,5.4,89.5,151.8
2424/049,2593 23RD AVE,2593 23RD AVE,94116,18658,N/A,,http://propertymap.sfplanning.org/?&search=2424/049,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,2593 23RD AVE,,San Francisco,POINT (-122.479725 37.739298),,,CA,94116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3745/009,100 HARRISON ST,100 HARRISON ST,94105,150000,N/A,,http://propertymap.sfplanning.org/?&search=3745/009,Violation - Did Not Report,Violation - Did Not Report,Violation - Insufficient Data,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Pending,100 HARRISON ST,,San Francisco,POINT (-122.389649 37.788648),,,CA,94105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5237/039,1241 EVANS AVE,1241 EVANS AVE,94124,24000,N/A,,http://propertymap.sfplanning.org/?&search=5237/039,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,1241 EVANS AVE,,San Francisco,POINT (-122.381742 37.739149),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0288/014,240 KEARNY ST,240 KEARNY ST,94108,16630,N/A,,http://propertymap.sfplanning.org/?&search=0288/014,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,240 KEARNY ST,,San Francisco,POINT (-122.403977 37.790365),,,CA,94108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3774/073,274 Brannan JV LLC,274 BRANNAN ST,94107,140000,Office,,http://propertymap.sfplanning.org/?&search=3774/073,Complied,Complied,Complied,Complied,Complied,4/1/13,Complied,274 BRANNAN ST,6,San Francisco,POINT (-122.391411 37.782393),128.1,377.9,CA,94107,83.5,83.5,1415.9,10.1,128.1,377.9,1,1018.5,3398,2187.2,,1956.27,,1018.5,3398,23,94.5,275,35,35.1,1112.5,7.9,94.5,275,24,87.9,265.8,32.5,32.5,984.1,7,87.9,265.8
0320/024,895 GEARY ST,895 GEARY ST,94109,41564,Hotel,,http://propertymap.sfplanning.org/?&search=0320/024,N/A,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,4/1/14,Pending,895 GEARY ST,,San Francisco,POINT (-122.41774 37.786151),,,CA,94109,,,,,,,,,,,,,,,,61,64.1,118,-9,-9,137.5,4.1,64.2,118.3,60,61.2,114,-8.3,-8.3,131.8,3.9,61.8,115.9
0174/008,710 SANSOME ST,710 SANSOME ST,94111,21790,Office,,http://propertymap.sfplanning.org/?&search=0174/008,N/A,N/A,Exempt,Exempt - Change of Ownership,Complied,4/1/14,Complied,710 SANSOME ST,,San Francisco,POINT (-122.401932 37.796942),,,CA,94111,,,,,,,,,,,,,,,,,,,,,,,,,51,97.4,173.7,-1.1,-1.1,133.9,6.1,95.3,167.1
3920/001,100 Potrero,100 POTRERO AVE,94103,70000,Office,,http://propertymap.sfplanning.org/?&search=3920/001,Complied,Complied,Complied,Complied,Complied,4/1/13,Complied,100 POTRERO AVE,58,San Francisco,POINT (-122.407782 37.768104),117.3,,CA,94103,-6.7,,610.2,,117.5,,63,109.8,260.8,-10.7,,576.7,,109.8,260.8,40,109.8,244.8,11,11,558.8,8,106.6,241.5,30,121.4,263.2,23.2,23.2,580.5,8.3,120.1,259.2
3708/006,62 1ST ST,62 1ST ST,94105,68783,Office,,http://propertymap.sfplanning.org/?&search=3708/006,Exempt - Change of Ownership,Exempt - Change of Ownership,Exempt - Change of Ownership,Complied,Complied,4/1/13,Complied,62 1ST ST,,San Francisco,POINT (-122.397988 37.79012),,,CA,94105,,,,,,,,,,,,,,,,84,32.6,68.4,-36.9,-36.9,158.2,2.3,32.6,68.4,28,57.2,132.6,27.4,27.4,276.9,4,57.2,132.6
0541/024,Union Street Plaza,2001 Union St,94123,122396,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=0541/024,Violation - Did Not Report,Complied,Violation - Insufficient Data,Complied,Complied,4/1/14,Pending,2001 Union St,55,San Francisco,POINT (-122.432553 37.797456),68.7,,CA,94123,-5.2,,408.35,,68.7,,,,,,,,,,,21,105.2,248.1,29.5,29.5,487.8,7.5,105.4,248.3,8,128.2,282.7,57.6,57.6,576.9,8.8,128.2,282.7
0173/006,Parkfront,220 JACKSON ST,94111,24888,Office,,http://propertymap.sfplanning.org/?&search=0173/006,Complied,Complied,Complied,Complied,Complied,4/1/14,Complied,220 JACKSON ST,,San Francisco,POINT (-122.400016 37.796867),,,CA,94111,,,,,,,,,,,,,,,,28,142.8,193.7,26,26,203.6,8.2,143.3,194.1,31,135.5,182.1,22,22,192.6,7.7,139.8,186.7
3717/019,188 Spear St.,188 Spear St.,94105,214898,Office,,http://propertymap.sfplanning.org/?&search=3717/019,N/A,N/A,Violation - Insufficient Data,Exempt,Complied,4/1/18,Upcoming,188 Spear St,,San Francisco,POINT (-122.392671 37.791438),,,CA,94105,,,,,,,,,,,,,,,,93,46.7,114.8,-49.8,-49.8,725.5,3.4,46.3,113.4,91,51.3,126.5,-47.6,-47.6,797.7,3.7,51.3,126.5
3706/068,748 MISSION ST,748 MISSION ST,94103,29440,N/A,,http://propertymap.sfplanning.org/?&search=3706/068,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,748 MISSION ST,,San Francisco,POINT (-122.403253 37.785315),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5423A/012,2540 Newhall St.,2540 Newhall St.,94124,34500,N/A,,http://propertymap.sfplanning.org/?&search=5423A/012,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,2540 Newhall St,,San Francisco,POINT (-122.398364 37.728855),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4881/022,5815 3RD ST,5815 3RD ST,94124,20470,N/A,,http://propertymap.sfplanning.org/?&search=4881/022,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Pending,5815 3RD ST,,San Francisco,POINT (-122.394328 37.725088),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0260/015,Merchants Exchange Building,465 CALIFORNIA ST,94104,240000,N/A,,http://propertymap.sfplanning.org/?&search=0260/015,Complied,Complied,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,465 CALIFORNIA ST,,San Francisco,POINT (-122.402276 37.792924),52.2,,CA,94104,-23.2,,1066.28,,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3733/017,The Salvation Army - 832 Folsom,832 FOLSOM ST,94103,86623,Office,,http://propertymap.sfplanning.org/?&search=3733/017,Complied,Complied,Complied,Complied,Complied,4/1/13,Complied,832 FOLSOM ST,54,San Francisco,POINT (-122.401969 37.7814),93,235.5,CA,94103,-4,-4,387.8,7.2,93,235.5,51,98.3,239.5,-1.7,-1.8,401.5,7.5,98.8,241.3,57,89.6,225,-7,-7,371.9,6.9,89.7,225.1,76,83.7,219.3,-26.2,-26.2,334.2,6.2,84.4,217.7
2901B/027,Mollie Stones Market #8,635 PORTOLA DR,94127,18665,Supermarket/Grocery Store,,http://propertymap.sfplanning.org/?&search=2901B/027,N/A,N/A,Complied,Complied,Complied,4/1/14,Pending,635 PORTOLA DR,,San Francisco,POINT (-122.452566 37.745009),,,CA,94127,,,,,,,,,,,,,,,,36,261.3,708.2,8.9,8.9,369.2,19.8,261.3,708.2,23,273,753.6,20,20,389.2,20.8,272.2,745.9
3937/001,1500 16th Street/250 DeHaro St,1500 16TH ST,94103,47500,Fitness Center/Health Club/Gym,,http://propertymap.sfplanning.org/?&search=3937/001,Complied,Complied,Complied,Complied,Complied,4/1/13,Complied,1500 16TH ST,,San Francisco,POINT (-122.402034 37.766104),,,CA,94103,,,,,,,,42.9,143.4,10.1,,111.92,,40.5,135.1,,31.1,97.6,0.9,0.9,120.4,2.5,31.5,98.8,,32,100.5,3.8,3.8,124,2.6,32,100.5
0131/015,408 Columbus,408 COLUMBUS AVE,94133,13223,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=0131/015,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,408 COLUMBUS AVE,,San Francisco,POINT (-122.408105 37.798883),,,CA,94133,,,,,,,,,,,,,,,,,101.4,173.9,41.2,41.3,86,6.5,101.4,173.9,,83.8,159.4,29.4,29.4,71.7,5.4,83.3,157.6
3707/004,109 Stevenson,36 2ND ST,94105,15150,Office,,http://propertymap.sfplanning.org/?&search=3707/004,N/A,N/A,Complied,Complied,Complied,4/1/14,Complied,36 2ND ST,,San Francisco,POINT (-122.400695 37.78871),,,CA,94105,,,,,,,,,,,,,,,,20,85.8,214.9,41.4,41.2,94.7,6.3,86,215.2,25,75,194.9,31.8,31.8,84.3,5.6,75.6,192.8
3927/004,None,243 Alabama Street,94103,30000,Other,,http://propertymap.sfplanning.org/?&search=3927/004,N/A,Violation - Did Not Report,Complied,Complied,Complied,4/1/14,Pending,243 Alabama Street,,San Francisco,POINT (-122.412492 37.766279),,,CA,94103,,,,,,,0,289.6,427.3,313.7,,444.85,,281.8,422.4,,299.9,435.4,253.7,253.7,457.1,17.9,285.5,426.5,,118.5,208.7,69.5,69.5,189.7,7.4,,
3615/023,2551 MISSION ST,2551 MISSION ST,94110,18654,N/A,,http://propertymap.sfplanning.org/?&search=3615/023,N/A,Exempt - New Construction,Exempt - New Construction,Exempt - New Construction,Violation - Did Not Report,4/1/18,Upcoming,2551 MISSION ST,,San Francisco,POINT (-122.41882 37.756205),,,CA,94110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5414/022,71 WILLIAMS AVE,71 WILLIAMS AVE,94124,23470,N/A,,http://propertymap.sfplanning.org/?&search=5414/022,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,71 WILLIAMS AVE,,San Francisco,POINT (-122.394514 37.72956),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0351/050,10UN,10 UNITED NATIONS PLZ,94102,67367,N/A,,http://propertymap.sfplanning.org/?&search=0351/050,Complied,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,10 UNITED NATIONS PLZ,,San Francisco,POINT (-122.413501 37.779923),,,CA,94102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0090/030,725 Greenwich St. Apartment,725 GREENWICH ST,94133,16228,Office,,http://propertymap.sfplanning.org/?&search=0090/030,N/A,N/A,Complied,Complied,Complied,4/1/14,Complied,725 GREENWICH ST,,San Francisco,POINT (-122.411745 37.802021),,,CA,94133,,,,,,,,,,,,,,,,87,36.4,114.3,-38,-37.9,33.3,3,36.4,114.5,87,36.2,113.5,-36.9,-36.9,33.1,2.9,37,116.1
5203/040,220 NEWHALL ST,220 NEWHALL ST,94124,42300,N/A,,http://propertymap.sfplanning.org/?&search=5203/040,N/A,Violation - Insufficient Data,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Pending,220 NEWHALL ST,,San Francisco,POINT (-122.384513 37.742474),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3552/012,1990 FOLSOM ST,1990 FOLSOM ST,94103,12016,Self-Storage Facility,,http://propertymap.sfplanning.org/?&search=3552/012,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/14,Did Not Comply,1990 FOLSOM ST,,San Francisco,POINT (-122.415327 37.765552),,,CA,94103,,,,,,,,,,,,,,,,,20.3,46.1,-3.2,-3.2,17,1.4,20.3,46.1,,15.2,37.5,-21.3,-21.3,13.2,1.1,15.2,37.5
0326/004,111 POWELL ST,111 POWELL ST,94102,27744,N/A,,http://propertymap.sfplanning.org/?&search=0326/004,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,111 POWELL ST,,San Francisco,POINT (-122.407932 37.785818),,,CA,94102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750/079,633 Folsom Street,633 FOLSOM ST,94107,195096,Office,,http://propertymap.sfplanning.org/?&search=3750/079,Complied,Complied,Complied,Complied,Complied,11/15/12,Exempt,633 FOLSOM ST,77,San Francisco,POINT (-122.397679 37.784784),81.6,,CA,94107,-29.2,,1222.32,,80.7,,82,82.9,195.9,-34,,1215.1,,81.5,194.5,86,69.8,178.2,-39.6,-39.6,1066.5,5.5,69.9,178.4,76,66.6,174,-28.1,-28.1,966,5,68.5,176
1355/011,Congregation Emanu-El,2 Lake Street,94118,96035,Worship Facility,,http://propertymap.sfplanning.org/?&search=1355/011,Violation - Insufficient Data,N/A,Complied,Complied,Complied,4/1/14,Complied,2 Lake Street,84,San Francisco,POINT (-122.46132 37.786825),35.2,,CA,94118,-39.1,,98.15,,35.2,,94,35.8,37.6,-53.9,,99.6,,35.1,36.8,85,32.9,60.6,-36.5,-36.5,201.9,2.1,30.7,57.7,81,35.1,60.2,-32.1,-32.1,209.6,2.2,39.1,65.4
1215/014,1215 FELL ST,1215 FELL ST,94117,18424,N/A,,http://propertymap.sfplanning.org/?&search=1215/014,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,1215 FELL ST,,San Francisco,POINT (-122.438213 37.773985),,,CA,94117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0241/025,650 California Street,636 CALIFORNIA ST,94108,549255,N/A,,http://propertymap.sfplanning.org/?&search=0241/025,Complied,Complied,Complied,Violation - Insufficient Data,Violation - Did Not Report,4/1/13,Exempt - LEED EBOM,636 CALIFORNIA ST,87,San Francisco,POINT (-122.405084 37.79256),57.1,,CA,94108,-39.7,,2767.99,,55.3,,87,56.7,153.3,-40.6,,2719.59,,55.3,151.7,,,,,,,,,,,,,,,,,,
3506/004,SF Honda,12 SOUTH VAN NESS AVE,94103,76334,Automobile Dealership,,http://propertymap.sfplanning.org/?&search=3506/004,Complied,Complied,Complied,Complied,Complied,11/15/12,Complied,12 SOUTH VAN NESS AVE,,San Francisco,POINT (-122.419108 37.774356),30.2,,CA,94103,-32.2,,190.67,,29.8,,,28.8,91.2,-45.7,,183.36,,28.4,90.1,,32,95.4,-26.6,-26.6,183.8,2.5,31.5,94.9,,31,94.7,-27.2,-27.2,180.4,2.5,31,94.7
0031/007,350 Bay St.,360 Bay St.,94133,38697,N/A,,http://propertymap.sfplanning.org/?&search=0031/007,Exempt,Exempt,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,360 Bay St,,San Francisco,POINT (-122.412973 37.805696),,,CA,94133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727/103,1161 MISSION ST,1161 MISSION ST,94103,74000,N/A,,http://propertymap.sfplanning.org/?&search=3727/103,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,11/15/12,Pending,1161 MISSION ST,,San Francisco,POINT (-122.412232 37.778192),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0348/026,201 GOLDEN GATE AVE,201 GOLDEN GATE AVE,94102,38795,Office,,http://propertymap.sfplanning.org/?&search=0348/026,N/A,Complied,Complied,Complied,Complied,4/1/14,Pending,201 GOLDEN GATE AVE,,San Francisco,POINT (-122.414239 37.781814),,,CA,94102,,,,,,,96,31.3,59.6,-56,-56,87,2.2,29.3,57.2,94,36.3,65.7,-51.4,-51.4,99.6,2.6,33.4,62.3,96,25.7,53.9,-58.1,-58.1,72.8,1.9,32.2,61.7
3789/007,625 Second Street,625 2ND ST,94107,174765,Office,,http://propertymap.sfplanning.org/?&search=3789/007,Complied,Complied,Complied,Violation - Insufficient Data,Complied,4/1/14,Pending,625 2ND ST,86,San Francisco,POINT (-122.391457 37.781342),44.4,,CA,94107,-39.8,,566.83,,46,,81,49.3,153.8,-32.8,,609.9,,49.4,153.8,,,,,,,,,,89,42.9,134,-41.9,-41.9,492.9,3.5,42.9,134
3759/011,800 Bryant St,498 6TH ST,94103,21437,Office,,http://propertymap.sfplanning.org/?&search=3759/011,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,498 6TH ST,,San Francisco,POINT (-122.402715 37.776182),,,CA,94103,,,,,,,,,,,,,,,,33,49.7,156.2,17.6,17.6,66.7,4.1,50.5,158.6,28,50.2,157.6,25.1,25.1,67.3,4.1,48.5,152.2
0667/005,1430 BUSH ST,1430 BUSH ST,94109,13000,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",,http://propertymap.sfplanning.org/?&search=0667/005,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,1430 BUSH ST,,San Francisco,POINT (-122.420922 37.788621),,,CA,94109,,,,,,,,,,,,,,,,,15.9,33.9,-72.4,-72.5,14.7,1.1,15.9,34,,14.9,35,-65.1,-65.1,13.7,1.1,15.7,35.7
0310/001,101 POST ST,101 POST ST,94108,17090,Financial Office,,http://propertymap.sfplanning.org/?&search=0310/001,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/14,Did Not Comply,101 POST ST,,San Francisco,POINT (-122.403892 37.788865),,,CA,94108,,,,,,,,,,,,,,,,,82.6,258.5,74.6,74.6,115,6.7,82.6,258.5,,92.8,290.6,96.3,96.3,129.2,7.6,89.8,281
0013/009,2601 MASON ST,2601 MASON ST,94133,15882,N/A,,http://propertymap.sfplanning.org/?&search=0013/009,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Exempt - Change of Ownership,4/1/13,Did Not Comply,2601 MASON ST,,San Francisco,POINT (-122.414034 37.807749),,,CA,94133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0233/044,Four Embarcadero Center,4 EMBARCADERO CENTER,94111,1068638,Office,,http://propertymap.sfplanning.org/?&search=0233/044,Complied,Complied,Complied,Complied,Complied,4/1/13,Exempt - LEED EBOM,4 EMBARCADERO CENTER,82,San Francisco,POINT (-122.395816 37.795146),90.9,,CA,94111,-33.9,,6616.92,,88.8,,82,82.7,208.9,-32.5,,6039.49,,81.7,207.9,85,83,197.9,-37.3,-37.3,5568.4,5.9,83.3,198.2,86,77.5,190.1,-38.4,-38.4,5272.7,5.6,80.7,193.5
4171/020,1250 TENNESSEE ST,1250 TENNESSEE ST,94107,45570,N/A,,http://propertymap.sfplanning.org/?&search=4171/020,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,1250 TENNESSEE ST,,San Francisco,POINT (-122.389065 37.755841),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5415/001,101 WILLIAMS AVE,101 WILLIAMS AVE,94124,16075,N/A,,http://propertymap.sfplanning.org/?&search=5415/001,N/A,N/A,Exempt - Vacant,Exempt - Vacant,Exempt - Vacant,4/1/13,Exempt - Vacant,101 WILLIAMS AVE,,San Francisco,POINT (-122.395277 37.729669),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3710/020,102557 333 Market Street,333 MARKET ST,94105,754385,Office,,http://propertymap.sfplanning.org/?&search=3710/020,Complied,Complied,Complied,Complied,Complied,11/15/12,Complied,333 MARKET ST,100,San Francisco,POINT (-122.397927 37.792014),23.5,,CA,94105,-92.9,,829.17,,23.5,,1,316.3,1056.4,690.9,,333.88,,316.3,1056.4,94,65.4,162.4,-47.6,-47.6,3707.5,5,65.7,162.7,95,63.3,158.3,-49.1,-49.1,3398.7,4.6,,
0141/003B,100 Broadway,100 BROADWAY,94111,24000,N/A,,http://propertymap.sfplanning.org/?&search=0141/003B,N/A,Exempt - SqFt Not Subject This Year,Complied,Complied,Exempt - Vacant,4/1/13,Did Not Comply,100 BROADWAY,,San Francisco,POINT (-122.400222 37.798682),,,CA,94111,,,,,,,,,,,,,,,,,8.4,19.5,-86.9,-86.8,15,0.6,8.4,19.5,,,,,,,,,
5239/024,1275 Fairfax Avenue,1275 FAIRFAX AVE,94124,31120,N/A,,http://propertymap.sfplanning.org/?&search=5239/024,N/A,Complied,Complied,Complied,Exempt,4/1/14,Complied,1275 FAIRFAX AVE,,San Francisco,POINT (-122.382786 37.738879),,,CA,94124,,,,,,,,28.1,93.7,-58.7,,79.34,,28.1,93.7,,27.9,87.5,-40.8,-40.9,76.3,2.5,27.9,87.5,,,,,,,,,
0929/014,2340 Chestnut Street,2340 CHESTNUT ST,94123,12628,N/A,,http://propertymap.sfplanning.org/?&search=0929/014,N/A,N/A,Complied,Exempt,Exempt - Tenant Turnover,4/1/14,Complied,2340 CHESTNUT ST,,San Francisco,POINT (-122.441908 37.800095),,,CA,94123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5559/016,225 BAY SHORE BLVD,225 BAY SHORE BLVD,94124,12004,N/A,,http://propertymap.sfplanning.org/?&search=5559/016,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,225 BAY SHORE BLVD,,San Francisco,POINT (-122.404295 37.744495),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5369/070,80 ELMIRA ST,80 ELMIRA ST,94124,10168,N/A,,http://propertymap.sfplanning.org/?&search=5369/070,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,80 ELMIRA ST,,San Francisco,POINT (-122.40384 37.737038),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
